##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_001153105.1	PRJEB2480	SAMEA2061503	CMPH00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-14	9803_7#54	SC	GCF_001153105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/153/105/GCA_001153105.1_9803_7_54	na	na	na	haploid	bacteria	2073011	2073011	39.500000	0	47	47	SC	Annotation submitted by SC	2015-07-14	2080	2032	48	na
GCA_001153145.1	PRJEB2357	SAMEA1023974	CKDO00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_1#14	SC	GCF_001153145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/153/145/GCA_001153145.1_6630_1_14	na	na	na	haploid	bacteria	2317466	2317071	39.500000	0	112	112	SC	Annotation submitted by SC	2015-07-11	2354	2316	38	na
GCA_001153625.1	PRJEB2357	SAMEA1024017	CKCN00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6593_5#1	SC	GCF_001153625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/153/625/GCA_001153625.1_6593_5_1	na	na	na	haploid	bacteria	2053324	2053297	39.500000	0	34	34	SC	Annotation submitted by SC	2015-07-11	2034	1994	40	na
GCA_001153645.1	PRJEB2357	SAMEA1023715	CKGF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_4#5	SC	GCF_001153645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/153/645/GCA_001153645.1_6630_4_5	na	na	na	haploid	bacteria	2066798	2066467	39.500000	0	90	90	SC	Annotation submitted by SC	2015-07-11	2041	2006	35	na
GCA_001153865.1	PRJEB2357	SAMEA1023729	CKMX00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6649_8#16	SC	GCF_001153865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/153/865/GCA_001153865.1_6649_8_16	na	na	na	haploid	bacteria	2062101	2062011	39.500000	0	44	44	SC	Annotation submitted by SC	2015-07-11	2035	1997	38	na
GCA_001154325.1	PRJEB2393	SAMEA1024892	CKPL00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6680_4#7	SC	GCF_001154325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/154/325/GCA_001154325.1_6680_4_7	na	na	na	haploid	bacteria	2089858	2089847	40.000000	0	65	65	SC	Annotation submitted by SC	2015-07-11	2053	2014	39	na
GCA_001155345.1	PRJEB2480	SAMEA1967500	CMSE00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-14	9803_8#60	SC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/345/GCA_001155345.1_9803_8_60	contaminated; RefSeq annotation failed; fragmented assembly; genome length too large	na	na	haploid	bacteria	6977565	6809548	37.000000	0	1708	1708	SC	Annotation submitted by SC	2015-07-14	6619	6549	70	na
GCA_001155805.1	PRJEB2357	SAMEA1024107	CKFU00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_4#13	SC	GCF_001155805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/155/805/GCA_001155805.1_6630_4_13	annotation fails completeness check	na	na	haploid	bacteria	2109378	2109076	39.500000	0	97	97	SC	Annotation submitted by SC	2015-07-11	2118	2081	37	na
GCA_001156705.1	PRJEB2480	SAMEA2061498	CMOW00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-14	9803_7#39	SC	GCF_001156705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/156/705/GCA_001156705.1_9803_7_39	na	na	na	haploid	bacteria	2069628	2069628	39.500000	0	84	84	SC	Annotation submitted by SC	2015-07-14	2060	2018	42	na
GCA_001157885.1	PRJEB2357	SAMEA1023740	CKFM00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_3#23	SC	GCF_001157885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/157/885/GCA_001157885.1_6630_3_23	na	na	na	haploid	bacteria	2075806	2075683	39.500000	0	71	71	SC	Annotation submitted by SC	2015-07-11	2063	2026	37	na
GCA_001158565.1	PRJEB2357	SAMEA1023902	CIMH00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-09	6631_7#10	SC	GCF_001158565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/158/565/GCA_001158565.1_6631_7_10	na	na	na	haploid	bacteria	2119776	2119733	39.500000	0	68	68	SC	Annotation submitted by SC	2015-07-09	2126	2086	40	na
GCA_001159905.1	PRJEB2480	SAMEA2061499	CMOR00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-14	9803_7#42	SC	GCF_001159905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/159/905/GCA_001159905.1_9803_7_42	na	na	na	haploid	bacteria	2129275	2129275	39.500000	0	74	74	SC	Annotation submitted by SC	2015-07-14	2097	2053	44	na
GCA_001161045.1	PRJEB2357	SAMEA1024168	CKIF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6631_3#22	SC	GCF_001161045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/161/045/GCA_001161045.1_6631_3_22	na	na	na	haploid	bacteria	2122532	2122469	39.500000	0	82	82	SC	Annotation submitted by SC	2015-07-11	2075	2035	40	na
GCA_001162485.1	PRJEB2357	SAMEA974673	CKAD00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6259_6#12	SC	GCF_001162485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/162/485/GCA_001162485.1_6259_6_12	na	na	na	haploid	bacteria	2099705	2099669	39.500000	0	143	143	SC	Annotation submitted by SC	2015-07-11	2041	2004	37	na
GCA_001162985.1	PRJEB2479	SAMEA1029071	CLTY00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-13	6972_5#20	SC	GCF_001162985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/162/985/GCA_001162985.1_6972_5_20	annotation fails completeness check	na	na	haploid	bacteria	2129751	2129751	39.500000	0	54	54	SC	Annotation submitted by SC	2015-07-13	2158	2115	43	na
GCA_001163065.1	PRJEB2357	SAMEA1024196	CKMW00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6649_8#21	SC	GCF_001163065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/163/065/GCA_001163065.1_6649_8_21	na	na	na	haploid	bacteria	2120567	2120543	39.500000	0	66	66	SC	Annotation submitted by SC	2015-07-11	2123	2080	43	na
GCA_001164145.1	PRJEB2357	SAMEA1023985	CKDZ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_1#4	SC	GCF_001164145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/164/145/GCA_001164145.1_6630_1_4	na	na	na	haploid	bacteria	2092849	2092670	39.500000	0	92	92	SC	Annotation submitted by SC	2015-07-11	2089	2034	55	na
GCA_001164965.1	PRJEB2357	SAMEA1023670	CKCP00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6593_4#4	SC	GCF_001164965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/164/965/GCA_001164965.1_6593_4_4	na	na	na	haploid	bacteria	2154220	2154199	39.500000	0	53	53	SC	Annotation submitted by SC	2015-07-11	2120	2080	40	na
GCA_001165025.1	PRJEB2357	SAMEA1024025	CKCQ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-11	6593_4#6	SC	GCF_001165025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/165/025/GCA_001165025.1_6593_4_6	annotation fails completeness check	na	na	haploid	bacteria	1987248	1987248	40.000000	0	92	92	SC	Annotation submitted by SC	2015-07-11	1998	1950	48	na
GCA_001165465.1	PRJEB2480	SAMEA2061735	CMSM00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-14	9803_8#7	SC	GCF_001165465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/165/465/GCA_001165465.1_9803_8_7	na	na	na	haploid	bacteria	2078278	2078266	39.500000	0	61	61	SC	Annotation submitted by SC	2015-07-14	2067	2021	46	na
GCA_001166805.1	PRJEB2357	SAMEA1023978	CKDL00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6630_1#13	SC	GCF_001166805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/166/805/GCA_001166805.1_6630_1_13	na	na	na	haploid	bacteria	2076585	2076352	39.500000	0	106	106	SC	Annotation submitted by SC	2015-07-11	2071	2034	37	na
GCA_001167485.1	PRJEB2357	SAMEA1024105	CKLV00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6641_6#8	SC	GCF_001167485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/167/485/GCA_001167485.1_6641_6_8	annotation fails completeness check	na	na	haploid	bacteria	2181649	2181186	39.500000	0	143	143	SC	Annotation submitted by SC	2015-07-11	2185	2150	35	na
GCA_001167505.1	PRJEB2357	SAMEA1023720	CKMU00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6649_8#14	SC	GCF_001167505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/167/505/GCA_001167505.1_6649_8_14	annotation fails completeness check	na	na	haploid	bacteria	2105837	2105807	39.500000	0	75	75	SC	Annotation submitted by SC	2015-07-11	2122	2075	47	na
GCA_001168185.1	PRJEB2357	SAMEA1023955	CKCX00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6593_5#4	SC	GCF_001168185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/168/185/GCA_001168185.1_6593_5_4	na	na	na	haploid	bacteria	2163254	2163212	39.500000	0	72	72	SC	Annotation submitted by SC	2015-07-11	2113	2073	40	na
GCA_001168325.1	PRJEB2357	SAMEA1023794	CIMF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-09	6631_4#9	SC	GCF_001168325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/168/325/GCA_001168325.1_6631_4_9	na	na	na	haploid	bacteria	2065824	2065813	39.500000	0	30	30	SC	Annotation submitted by SC	2015-07-09	2047	2006	41	na
GCA_001170385.1	PRJEB2357	SAMEA1023894	CKJN00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6631_5#2	SC	GCF_001170385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/170/385/GCA_001170385.1_6631_5_2	na	na	na	haploid	bacteria	1999199	1999188	39.500000	0	86	86	SC	Annotation submitted by SC	2015-07-11	1987	1948	39	na
GCA_001170885.1	PRJEB2393	SAMEA1024881	CRBU00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-19	6731_1#21	SC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/170/885/GCA_001170885.1_6731_1_21	unverified source organism; RefSeq annotation failed; genome length too large	na	na	haploid	bacteria	5731706	5708949	35.000000	0	210	210	SC	Annotation submitted by SC	2015-07-19	5797	5769	28	na
GCA_001170945.1	PRJEB2357	SAMEA1023663	CKHB00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-07-11	6631_1#6	SC	GCF_001170945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/170/945/GCA_001170945.1_6631_1_6	na	na	na	haploid	bacteria	2071641	2071641	39.500000	0	38	38	SC	Annotation submitted by SC	2015-07-11	2054	2014	40	na
GCA_001171505.1	PRJEB2357	SAMEA1023739	CKLF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-11	6641_6#14	SC	GCF_001171505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/171/505/GCA_001171505.1_6641_6_14	annotation fails completeness check	na	na	haploid	bacteria	2240080	2239836	39.500000	0	82	82	SC	Annotation submitted by SC	2015-07-11	2260	2227	33	na
GCA_001171805.1	PRJEB2480	SAMEA2062160	CMRC00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-14	9803_8#27	SC	GCF_001171805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/171/805/GCA_001171805.1_9803_8_27	na	na	na	haploid	bacteria	2133156	2133113	39.500000	0	71	71	SC	Annotation submitted by SC	2015-07-14	2099	2054	45	na
GCA_001198315.1	PRJEB2397	SAMEA1026051	CRVZ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-18	6805_7#8	SC	GCF_001198315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/198/315/GCA_001198315.1_6805_7_8	na	na	na	haploid	bacteria	2103077	2103012	39.500000	0	68	68	SC	Annotation submitted by SC	2015-07-18	2106	2064	42	na
GCA_001198395.1	PRJEB2393	SAMEA1024567	CRRH00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-19	6805_1#11	SC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/198/395/GCA_001198395.1_6805_1_11	unverified source organism; RefSeq annotation failed; genome length too large	na	na	haploid	bacteria	5878207	5855992	35.000000	0	626	626	SC	Annotation submitted by SC	2015-07-19	5826	5769	57	na
GCA_001199455.1	PRJEB2393	SAMEA1025018	CRLP00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-18	6755_1#21	SC	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/199/455/GCA_001199455.1_6755_1_21	unverified source organism; RefSeq annotation failed; genome length too large	na	na	haploid	bacteria	5241608	5240352	35.000000	0	53	53	SC	Annotation submitted by SC	2015-07-18	5303	5265	38	na
GCA_001334315.1	PRJEB2357	SAMEA1023660	CIHL00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6641_6#4	SC	GCF_001334315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/315/GCA_001334315.1_6641_6_4	na	na	na	haploid	bacteria	2160794	2160225	39.500000	0	83	83	SC	Annotation submitted by SC	2015-07-27	2163	2119	44	na
GCA_001334335.1	PRJEB2357	SAMEA1023661	CHNO00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6631_2#12	SC	GCF_001334335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/335/GCA_001334335.1_6631_2_12	na	na	na	haploid	bacteria	2133133	2133121	39.500000	0	70	70	SC	Annotation submitted by SC	2015-07-28	2095	2056	39	na
GCA_001334435.1	PRJEB2357	SAMEA1023685	CIHF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6641_6#17	SC	GCF_001334435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/435/GCA_001334435.1_6641_6_17	na	na	na	haploid	bacteria	2112988	2112483	39.500000	0	67	67	SC	Annotation submitted by SC	2015-07-27	2084	2047	37	na
GCA_001334455.1	PRJEB2357	SAMEA1023688	CFER00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-01	6593_4#3	SC	GCF_001334455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/455/GCA_001334455.1_6593_4_3	na	na	na	haploid	bacteria	2127399	2127386	39.500000	0	92	92	SC	Annotation submitted by SC	2015-07-28	2125	2087	38	na
GCA_001334555.1	PRJEB2357	SAMEA1023701	CHOD00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-04-22	6631_2#14	SC	GCF_001334555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/555/GCA_001334555.1_6631_2_14	na	na	na	haploid	bacteria	2054741	2054741	39.500000	0	39	39	SC	Annotation submitted by SC	2015-07-24	2035	1995	40	na
GCA_001334695.1	PRJEB2357	SAMEA1023736	CIGW00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-07-28	6593_5#12	SC	GCF_001334695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/695/GCA_001334695.1_6593_5_12	na	na	na	haploid	bacteria	2076067	2076022	39.500000	0	68	68	SC	Annotation submitted by SC	2015-07-28	2066	2024	42	na
GCA_001334735.1	PRJEB2357	SAMEA1023744	CHGO00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6593_5#23	SC	GCF_001334735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/735/GCA_001334735.1_6593_5_23	annotation fails completeness check	na	na	haploid	bacteria	2020169	2020136	39.500000	0	57	57	SC	Annotation submitted by SC	2015-07-24	2071	2029	42	na
GCA_001334775.1	PRJEB2357	SAMEA1023758	CFFD00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-01	6649_8#17	SC	GCF_001334775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/775/GCA_001334775.1_6649_8_17	na	na	na	haploid	bacteria	2066646	2066612	39.500000	0	57	57	SC	Annotation submitted by SC	2015-07-23	2043	1999	44	na
GCA_001334855.1	PRJEB2357	SAMEA1023781	CFDT00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Contig	Major	Full	2015-04-01	6631_4#19	SC	GCF_001334855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/855/GCA_001334855.1_6631_4_19	na	na	na	haploid	bacteria	2129283	2129283	39.500000	0	77	77	SC	Annotation submitted by SC	2015-07-23	2133	2092	41	na
GCA_001334895.1	PRJEB2357	SAMEA1023787	CHOS00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6664_1#21	SC	GCF_001334895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/895/GCA_001334895.1_6664_1_21	na	na	na	haploid	bacteria	2108338	2108327	39.500000	0	59	59	SC	Annotation submitted by SC	2015-07-24	2090	2043	47	na
GCA_001334995.1	PRJEB2357	SAMEA1023819	CHNX00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6631_5#20	SC	GCF_001334995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/334/995/GCA_001334995.1_6631_5_20	annotation fails completeness check	na	na	haploid	bacteria	2107145	2107135	39.500000	0	131	131	SC	Annotation submitted by SC	2015-04-22	2109	2063	46	na
GCA_001335035.1	PRJEB2357	SAMEA1023825	CHOF00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6631_3#16	SC	GCF_001335035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/035/GCA_001335035.1_6631_3_16	na	na	na	haploid	bacteria	2107487	2107372	39.500000	0	67	67	SC	Annotation submitted by SC	2015-07-24	2117	2074	43	na
GCA_001335095.1	PRJEB2357	SAMEA1023855	CHGN00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6593_5#10	SC	GCF_001335095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/095/GCA_001335095.1_6593_5_10	na	na	na	haploid	bacteria	2154809	2154799	39.500000	0	49	49	SC	Annotation submitted by SC	2015-07-24	2150	2111	39	na
GCA_001335415.1	PRJEB2357	SAMEA1023951	CHPA00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6664_1#3	SC	GCF_001335415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/415/GCA_001335415.1_6664_1_3	na	na	na	haploid	bacteria	2061529	2061509	39.500000	0	32	32	SC	Annotation submitted by SC	2015-07-24	2055	2009	46	na
GCA_001335575.1	PRJEB2357	SAMEA1024016	CGVZ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6630_3#17	SC	GCF_001335575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/575/GCA_001335575.1_6630_3_17	na	na	na	haploid	bacteria	2094599	2094303	39.500000	0	82	82	SC	Annotation submitted by SC	2015-07-24	2089	2053	36	na
GCA_001335615.1	PRJEB2357	SAMEA1024029	CFCJ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-01	6630_1#2	SC	GCF_001335615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/615/GCA_001335615.1_6630_1_2	na	na	na	haploid	bacteria	2062404	2062110	39.500000	0	70	70	SC	Annotation submitted by SC	2015-07-23	2047	2010	37	na
GCA_001335775.1	PRJEB2357	SAMEA1024075	CFCS00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-01	6631_7#16	SC	GCF_001335775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/775/GCA_001335775.1_6631_7_16	annotation fails completeness check	na	na	haploid	bacteria	1960023	1959999	40.000000	0	81	81	SC	Annotation submitted by SC	2015-07-28	1945	1904	41	na
GCA_001335995.1	PRJEB2357	SAMEA1024143	CHOQ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6649_8#9	SC	GCF_001335995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/335/995/GCA_001335995.1_6649_8_9	na	na	na	haploid	bacteria	2129098	2128996	39.500000	0	75	75	SC	Annotation submitted by SC	2015-07-24	2142	2102	40	na
GCA_001336335.1	PRJEB2357	SAMEA974611	CHMU00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_6#16	SC	GCF_001336335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/335/GCA_001336335.1_6259_6_16	na	na	na	haploid	bacteria	2124151	2124093	39.500000	0	112	112	SC	Annotation submitted by SC	2015-07-24	2125	2082	43	na
GCA_001336395.1	PRJEB2357	SAMEA974619	CHND00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_7#11	SC	GCF_001336395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/395/GCA_001336395.1_6259_7_11	na	na	na	haploid	bacteria	2162735	2162600	39.500000	0	68	68	SC	Annotation submitted by SC	2015-07-24	2119	2077	42	na
GCA_001336435.1	PRJEB2357	SAMEA974628	CIHD00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_6#1	SC	GCF_001336435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/435/GCA_001336435.1_6259_6_1	na	na	na	haploid	bacteria	2077260	2077213	39.500000	0	33	33	SC	Annotation submitted by SC	2015-07-28	2079	2021	58	na
GCA_001336455.1	PRJEB2357	SAMEA974629	CHNI00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_7#19	SC	GCF_001336455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/455/GCA_001336455.1_6259_7_19	annotation fails completeness check	na	na	haploid	bacteria	1994234	1994208	40.000000	0	83	83	SC	Annotation submitted by SC	2015-07-28	2009	1969	40	na
GCA_001336495.1	PRJEB2357	SAMEA974635	CHNJ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_7#24	SC	GCF_001336495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/495/GCA_001336495.1_6259_7_24	na	na	na	haploid	bacteria	2147003	2146946	39.500000	0	66	66	SC	Annotation submitted by SC	2015-07-28	2164	2125	39	na
GCA_001336555.1	PRJEB2357	SAMEA974644	CVJZ00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-06	6259_8#9	SC	GCF_001336555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/555/GCA_001336555.1_6259_8_9	na	na	na	haploid	bacteria	2128930	2128920	39.500000	0	48	48	SC	Annotation submitted by SC	2015-07-27	2100	2059	41	na
GCA_001336655.1	PRJEB2357	SAMEA974657	CIHI00000000.1	na	1313	1313	Streptococcus pneumoniae	strain=type strain: N	na	latest	Scaffold	Major	Full	2015-04-22	6259_8#13	SC	GCF_001336655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/336/655/GCA_001336655.1_6259_8_13	na	na	na	haploid	bacteria	2141373	2141309	39.500000	0	50	50	SC	Annotation submitted by SC	2015-07-27	2104	2067	37	na
